AIRLINE_NAME,AVG_DELAY
Frontier Airlines Inc.,26.900254560882484
Southwest Airlines Co.,26.681590357779783
Skywest Airlines Inc.,26.6124031726889
United Air Lines Inc.,26.019098183762733
Atlantic Southeast Airlines,24.07839976553341
JetBlue Airways,23.954305027460922
American Eagle Airlines Inc.,23.40451219713611
American Airlines Inc.,21.747956309151892
Virgin America,21.69375106130073
Spirit Air Lines,20.49086818035709
Delta Air Lines Inc.,18.099251840742905
Alaska Airlines Inc.,17.06411059413028
Hawaiian Airlines Inc.,14.701670921327453
US Airways Inc.,14.31119866480615
