airport,total_flights
ATL,693740.0
ORD,571790.0
DFW,479133.0
DEN,392065.0
LAX,389369.0
SFO,295974.0
PHX,293627.0
IAH,293305.0
LAS,266379.0
MSP,224245.0
MCO,221962.0
SEA,221806.0
DTW,216898.0
BOS,215698.0
EWR,203602.0
CLT,200646.0
LGA,199186.0
SLC,194403.0
JFK,187620.0
BWI,172164.0
MDW,161770.0
DCA,147593.0
FLL,147223.0
SAN,140414.0
MIA,138665.0
PHL,132038.0
TPA,127820.0
DAL,119402.0
HOU,104083.0
BNA,95148.0
PDX,94166.0
STL,93925.0
HNL,86329.0
OAK,84629.0
AUS,84145.0
MSY,77606.0
MCI,77320.0
SJC,76404.0
SMF,74424.0
SNA,74382.0
CLE,69169.0
IAD,68587.0
RDU,63793.0
MKE,59658.0
SAT,59572.0
RSW,54699.0
IND,51115.0
SJU,49309.0
CMH,48370.0
PIT,48239.0
PBI,45147.0
OGG,41265.0
CVG,40058.0
ABQ,38380.0
BUR,37779.0
BDL,37596.0
JAX,36078.0
ONT,35957.0
BUF,33653.0
OMA,33505.0
OKC,32291.0
ANC,32006.0
RIC,30706.0
TUS,30233.0
MEM,29539.0
TUL,27940.0
RNO,26021.0
BHM,25028.0
ELP,23948.0
CHS,23636.0
BOI,23311.0
KOA,22227.0
PVD,22117.0
GRR,21685.0
LIH,21090.0
LIT,20839.0
SDF,20403.0
GEG,19009.0
ORF,18749.0
XNA,18567.0
MSN,18264.0
PSP,17975.0
LGB,17555.0
DAY,17348.0
DSM,16773.0
ICT,16193.0
SAV,15081.0
MAF,15049.0
ALB,14919.0
ROC,14894.0
HPN,14902.0
BTR,14334.0
JAN,14195.0
FAT,14035.0
TYS,13927.0
COS,13763.0
CID,13665.0
GSO,13471.0
GSP,13084.0
PNS,13068.0
MHT,12584.0
SGF,12473.0
CAK,12198.0
SHV,12199.0
SBA,12034.0
LEX,11961.0
ITO,11446.0
FAR,11386.0
SYR,11218.0
FSD,10660.0
FWA,10523.0
CAE,10299.0
LFT,10296.0
MOB,10035.0
CRP,9769.0
GRB,9764.0
VPS,9736.0
MYR,9661.0
FNT,9492.0
PWM,9361.0
PIA,9331.0
LBB,9273.0
HSV,9041.0
SBN,8906.0
ISP,8784.0
STT,8696.0
AMA,8429.0
CHA,8406.0
ECP,8342.0
JNU,8190.0
GRK,8066.0
EVV,7667.0
MLI,7554.0
EUG,7263.0
GPT,7209.0
BZN,7209.0
ACY,7143.0
ASE,7123.0
JAC,7021.0
BIS,6908.0
MFE,6818.0
SRQ,6740.0
MDT,6571.0
RAP,6534.0
TLH,6387.0
GJT,6358.0
MGM,6342.0
AEX,6292.0
SBP,6265.0
HRL,6163.0
BTV,5954.0
MRY,5948.0
MLU,5923.0
BIL,5736.0
ATW,5697.0
TTN,5666.0
TVC,5514.0
AVL,5492.0
BMI,5461.0
GNV,5365.0
BFL,5273.0
LNK,5273.0
ISN,5084.0
MFR,4947.0
PSC,4868.0
CRW,4771.0
BRO,4726.0
AGS,4724.0
ABI,4656.0
KTN,4639.0
CLL,4620.0
TYR,4599.0
ROA,4565.0
ABE,4550.0
IDA,4494.0
CHO,4408.0
LRD,4404.0
FAI,4366.0
RDM,4305.0
CMI,4231.0
MSO,4154.0
DRO,4136.0
RST,4108.0
ELM,4103.0
FCA,4049.0
EYW,3946.0
FSM,3941.0
GTF,3932.0
TRI,3857.0
YUM,3755.0
LCH,3719.0
ILM,3721.0
MOT,3700.0
LAN,3697.0
AZO,3691.0
SGU,3555.0
CPR,3546.0
MBS,3441.0
DLH,3440.0
FLG,3320.0
LSE,3291.0
